text,joy,trust,fear,surprise,sadness,disgust,anger,anticipation,love,worried,disappointed,proud,embarrassed,jealous,calm,excited
This product is absolutely amazing! I love it so much!,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
I'm so happy with my purchase! Exceeded expectations!,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Best decision ever! I'm thrilled!,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Tôi rất vui và hạnh phúc với sản phẩm này!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Tuyệt vời! Tôi yêu nó!,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I'm really disappointed with the quality. Very sad.,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
This made me so sad. Not what I expected at all.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Feeling let down and disappointed by this purchase.,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Tôi rất thất vọng và buồn về sản phẩm này.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
This is terrible! I'm so angry and frustrated!,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Absolutely furious with this poor service!,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
I'm disgusted and angry. Complete waste of money!,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Tôi rất tức giận! Dịch vụ tệ!,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
I'm worried this won't work properly. Feeling anxious.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Concerned and fearful about the safety of this product.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
I'm scared and worried it might break easily.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tôi lo lắng về chất lượng sản phẩm.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Wow! I'm surprised by how good this is!,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Didn't expect this! Pleasantly surprised!,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I'm shocked at how amazing this turned out!,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Thật ngạc nhiên! Tốt hơn tôi nghĩ!,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Can't wait to use this! So excited and hopeful!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Looking forward to seeing the results. Feeling optimistic!,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I'm eager and excited to try this out!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Tôi rất mong chờ! Hào hứng quá!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Everything works as expected. I'm satisfied and calm.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Reliable product. Feeling peaceful and content.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
No issues so far. Calm and trusting the quality.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sản phẩm ổn định. Tôi tin tưởng.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I'm so proud of this purchase! Great choice!,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Feeling proud and satisfied with my decision.,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
This makes me proud to own it!,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
I'm a bit embarrassed I didn't buy this sooner.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Feeling embarrassed about my initial doubts.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Slightly embarrassed to admit I was wrong about this.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
I'm jealous of people who discovered this earlier!,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Feeling a bit jealous seeing others enjoy this.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Wish I had found this sooner. Slightly jealous.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
I'm excited but also worried about the outcome.,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Happy yet surprised by the unexpected features.,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Disappointed but hopeful it will improve.,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Angry but also sad about this situation.,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Tôi vui nhưng cũng lo lắng một chút.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hạnh phúc nhưng ngạc nhiên về giá cả.,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The product is okay. Nothing special.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
It works fine. No complaints.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Standard quality. As described.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sản phẩm bình thường.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Absolutely love this! Best purchase ever!,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
So disappointed and frustrated. Waste of money.,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
I'm thrilled and can't contain my excitement!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Feeling anxious and fearful about using this.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Pleasantly surprised! Exceeded all expectations!,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Calm and satisfied with the performance.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I'm proud to own this quality product!,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Disgusted by the poor quality and service.,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Worried this might not last long.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Excited to see what happens next!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Tôi rất hài lòng và tin tưởng sản phẩm này!,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Thất vọng và tức giận với chất lượng.,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Ngạc nhiên và vui mừng với kết quả!,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Lo lắng về độ bền của sản phẩm.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tự hào về quyết định mua hàng này!,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bình tĩnh và hài lòng với hiệu suất.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hào hứng chờ đợi sử dụng!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Buồn và thất vọng về dịch vụ.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Yêu thích sản phẩm này! Tuyệt vời!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Ghê tởm chất lượng kém này.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
I trust this brand completely. Very reliable.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fearful of potential issues down the line.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Surprised by the fast delivery! Happy customer!,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anticipating great results from this purchase.,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Feeling disgusted and let down by the experience.,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Calm and peaceful using this product.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Excited and joyful about this amazing find!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Embarrassed I doubted the quality initially.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Jealous of those who got the better deal.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Proud and happy with my smart choice!,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Worried and anxious about the warranty.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Disappointed yet hopeful for improvements.,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Angry and frustrated with customer service.,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Loving every moment with this product!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Trusting the process and staying calm.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tin tưởng hoàn toàn vào thương hiệu này.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sợ hãi về các vấn đề tiềm ẩn.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ngạc nhiên về giao hàng nhanh! Vui lắm!,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mong đợi kết quả tuyệt vời từ sản phẩm.,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Cảm thấy ghê tởm và thất vọng.,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Bình tĩnh và yên bình khi sử dụng.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hào hứng và vui mừng với phát hiện tuyệt vời!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Xấu hổ vì đã nghi ngờ chất lượng.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Ghen tị với những người có giá tốt hơn.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Tự hào và hạnh phúc với lựa chọn thông minh!,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lo lắng và căng thẳng về bảo hành.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Thất vọng nhưng vẫn hy vọng cải thiện.,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Tức giận và bực bội với dịch vụ khách hàng.,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Yêu thích từng khoảnh khắc với sản phẩm!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Tin tưởng vào quá trình và giữ bình tĩnh.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Loving every moment with this product!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Concerned and fearful about the safety of this product.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Cách tiếp cận của IUH rất hay,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hiện nay chưa có thương hiệu nào của VN trên thế giới,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Các sinh viên có tinh thần kinh doanh là rất tốt,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hoan hô tinh thần khởi nghiệp của các bạn,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sinh viên biết sáng tạo là tốt,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Có 1 vài dự án thật sự ấn tượng,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bán đồ ăn dạo thì dễ chứ để lấy mấy cái chứng nhận an toàn thực phẩm là rất khó,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nhiều khi chưa đạt được shop yêu thích thì đã ngủm rồi,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Giảm giá không phải chiến lược lâu dài,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bán giá rẻ mà còn khuyến mãi ưu đãi thì chắc chết sớm,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hi vọng sau cuộc thi này thì các bạn tiếp tục phát triển dự án của mình,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Thuyết trình không quá hay nhưng dự án rất tốt,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IUH cho trải nghiệm thật chứ không phải chỉ là lí thuyết,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chatgpt vẫn chưa phải là đối thủ của con người,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cái này làm shark tank phiên bản mini nữa thì tuyệt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Đầu óc mấy bạn giỏi thật,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Các câu hỏi của Tom rất sắc bén,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Giờ nhiều trang web gia sư đang phải cạnh tranh với chatgpt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Các bạn thật can đảm,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tưởng mấy bạn đưa dự án thôi ai dè làm thiệt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ý tưởng cũng không có gì mới,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Những ai đi làm rồi đều biết là dự án của các bạn đều rất sơ sài,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Dự án nào mà được rót vốn thì hay phết,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mấy bạn này thuyết trình để lấy kinh nghiệm thôi chứ đi làm thật sẽ khác,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Có 1 sự thật là quảng cáo tốn tiền nhưng niềm tin khách hàng rất thấp,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Người ta tin tưởng truyền miệng hơn là các quảng cáo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Giờ lên fb đâu đâu cũng là quảng cáo riết người dùng không xài nó nữa,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Nhu cầu của thị trường rất lớn nhưng lại cũng có rất nhiều đối thủ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trường mình hồi trước cũng tổ chức nhưng mình không tham gia vì chẳng đâu tới đâu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Mấy bạn này chỉ mới đưa ra ý tưởng thôi chứ để thành dự án thì hơi khó,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Đây là những cái đầu khởi nghiệp của tương lai,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mấy hội thi này tham gia cho vui thôi chứ đi làm chả bao giờ làm mấy này,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Chỉ những người đã đi làm mới hiểu câu hỏi của Tom thiết thực thế nào,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hợp tác với trường nên trường mời gì là Tom phải đi cái đấy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IUH tạo môi trường giao lưu học hỏi cho sinh viên trong khoa,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Việc này thúc đẩy sự phát triển của nền kinh tế,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Đây là cơ sở tạo nên nguồn nhân lực dồi dào chất lượng cao,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mediastep và IUH mở ra định hướng hợp tác lâu dài cho nhau,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Tom đúng là người làm doanh nhân có khác,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hay quá cảm ơn thầy chia sẻ video!,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thầy hỏi hay quá để cho học viên nói ra suy nghĩ và bài học chiêm nghiệm.,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Vãi nhái rửa xe 15k nhưng 1 lượt khách để lại tiệm 1-2tr.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chỉ cần vài câu hỏi mà có thể khiến bạn kia thay đổi được cục diện.,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Đang tính khởi nghiệp xe cá viên chiên mà nghe thầy hỏi áp lực quá.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Cảm ơn những kiến thức chia sẻ của thầy thật sự giá trị và ý nghĩa.,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Thầy hỏi quá khó quay như chong chóng...,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Thầy hướng dẫn rất chi là có tâm tận tình luôn!,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Tưởng gì té ra cuối cùng cũng chỉ là dụ đi học.,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Bài học đắt giá ngàn vàng cho những người muốn khởi nghiệp.,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Thực sự những câu nói của thầy như những cái tát giúp em tỉnh ra.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mở doanh nghiệp làm chủ 3 tháng thôi là hói mẹ đầu.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Tư duy chậm thế này làm ông chủ sao nổi.,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Nếu theo cách thầy nêu chắc chắn cửa hàng đó sẽ ngỏm.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Thầy hỏi hay quá để cho học viên nói ra suy nghĩ và bài học chiêm nghiệm cho bản thân.,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Cảm ơn những kiến thức chia sẻ của thầy thật sự giá trị và ý nghĩa với em lúc này.,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Đang tính khởi nghiệp xe cá viên chiên mà nghe thầy hỏi áp lực quá.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Bài học quá hay! Cảm ơn thầy đã chia sẻ!,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Thầy hỏi quá khó quay như chong chóng...,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Thực sự những câu hỏi của thầy như những cái tát giúp e tỉnh ra và học được nhiều điều.,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5 lời khuyên của thầy: Kiến thức; đồng đội; góp máu; ăn ít nhưng nhiều chỗ; nương tựa chính mình.,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Tưởng gì té ra cuối cùng cũng chỉ là dụ đi học.,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Vãi nhái rửa xe 15k nhưng 1 lượt khách để lại tiệm 1-2tr. Ông cố ơi!,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Đi làm thuê thì chảnh choẹ ko chịu làm lính. Mở doanh nghiệp làm chủ 3 tháng thôi là hói mẹ đầu.,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Thanh niên này cần tiếp tục làm thuê một thời gian nữa để nâng cao kiến thức quản trị.,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Hay quá cảm ơn thầy chia sẻ video!,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thầy hỏi hay quá để cho học viên nói ra suy nghĩ và bài học chiêm nghiệm.,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Chỉ cần vài câu hỏi mà có thể khiến bạn kia thay đổi được cục diện.,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Đang tính khởi nghiệp xe cá viên chiên mà nghe thầy hỏi áp lực quá.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Cảm ơn những kiến thức chia sẻ của thầy thật sự giá trị và ý nghĩa.,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Thầy hỏi quá khó quay như chong chóng...,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Thầy hướng dẫn rất chi là có tâm tận tình luôn!,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Tưởng gì té ra cuối cùng cũng chỉ là dụ đi học.,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Bài học đắt giá ngàn vàng cho những người muốn khởi nghiệp.,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Thực sự những câu nói của thầy như những cái tát giúp em tỉnh ra.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mở doanh nghiệp làm chủ 3 tháng thôi là hói mẹ đầu.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Tư duy chậm thế này làm ông chủ sao nổi.,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Nếu theo cách thầy nêu chắc chắn cửa hàng đó sẽ ngỏm.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Thầy hỏi hay quá để cho học viên nói ra suy nghĩ và bài học chiêm nghiệm cho bản thân.,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Cảm ơn những kiến thức chia sẻ của thầy thật sự giá trị và ý nghĩa với em lúc này.,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Đang tính khởi nghiệp xe cá viên chiên mà nghe thầy hỏi áp lực quá.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Bài học quá hay! Cảm ơn thầy đã chia sẻ!,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Thầy hỏi quá khó quay như chong chóng...,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Thực sự những câu hỏi của thầy như những cái tát giúp e tỉnh ra và học được nhiều điều.,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Tưởng gì té ra cuối cùng cũng chỉ là dụ đi học.,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Đi làm thuê thì chảnh choẹ ko chịu làm lính. Mở doanh nghiệp làm chủ 3 tháng thôi là hói mẹ đầu.,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Thanh niên này cần tiếp tục làm thuê một thời gian nữa để nâng cao kiến thức quản trị.,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Năm nay tôi 53 tuổi nhưng vẫn xem kênh để học hỏi và hướng dẫn con cháu.,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Nhờ anh như một người anh tinh thần giúp tôi có thêm động lực và kiến thức.,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Video này đến đúng lúc tôi có ý định khởi nghiệp.,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Tôi nhận ra mình thuộc nhóm số 2 sau khi xem video.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cảm ơn vì đã mang lại giá trị và kiến thức hữu ích.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tôi đã khởi nghiệp từ xưởng nhỏ và đang cố gắng mở rộng hơn.,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Tôi là giáo viên và thích học hỏi để tư vấn cho học sinh.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Video giúp tôi mở mang hiểu biết về tố chất khởi nghiệp.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tôi sẽ cố gắng học hỏi để cải thiện bản thân trong kinh doanh.,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Tôi từng gặp khó khăn nhưng vẫn giữ ngọn lửa khởi nghiệp.,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Những chia sẻ của anh giúp tôi có góc nhìn đa chiều hơn.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tôi theo dõi kênh để học thêm về quản trị doanh nghiệp.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bạn là lý do tôi còn tin vào những nội dung giá trị.,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0